employee_id,age,gender,department,job_role,education_level,monthly_salary,years_at_company,years_since_promotion,num_projects,avg_weekly_hours,overtime,satisfaction_score,performance_rating,work_life_balance,distance_from_home,marital_status,attrition
EMP-1001,38,Male,Sales,Associate,Bachelor's,41024.74,14,5,9,59.1,No,4.4,4,1,18,Single,No
EMP-1002,28,Male,Sales,Team Lead,Master's,70470.49,7,3,9,59.9,No,2.3,4,1,12,Single,No
EMP-1003,42,Female,Engineering,Executive,Bachelor's,150000.0,2,1,5,55.0,Yes,1.5,4,3,20,Single,Yes
EMP-1004,44,Male,Engineering,Manager,PhD,107963.17,1,0,8,60.0,Yes,1.0,4,1,41,Married,No
EMP-1005,22,Male,HR,Manager,Master's,105534.61,14,1,4,50.6,Yes,2.5,3,1,6,Married,Yes
EMP-1006,26,Other,Sales,Analyst,High School,50443.64,7,3,3,47.4,No,2.1,2,2,48,Divorced,Yes
EMP-1007,37,Male,HR,Team Lead,High School,57360.02,1,0,7,57.9,Yes,1.0,4,1,21,Married,Yes
EMP-1008,33,Male,Finance,Director,Master's,103952.29,0,0,5,55.8,No,3.0,1,2,15,Married,No
EMP-1009,36,Female,Engineering,Team Lead,Bachelor's,62826.45,3,0,3,37.8,No,4.0,4,4,23,Married,No
EMP-1010,29,Male,Engineering,Director,Master's,149947.03,7,4,7,42.6,No,2.1,3,3,47,Married,No
EMP-1011,43,Male,Engineering,Manager,Bachelor's,81714.41,4,4,4,41.5,No,3.9,2,1,41,Married,Yes
EMP-1012,42,Other,Engineering,Manager,High School,77947.14,3,2,6,56.4,Yes,1.9,4,1,41,Single,No
EMP-1013,37,Male,HR,Analyst,Bachelor's,44507.14,9,0,4,40.8,No,2.6,3,1,12,Divorced,No
EMP-1014,45,Male,Finance,Team Lead,Master's,63237.5,4,4,9,42.6,No,2.4,5,3,45,Married,Yes
EMP-1015,40,Male,Operations,Director,PhD,134062.92,7,5,9,48.0,No,1.6,3,3,36,Married,No
EMP-1016,29,Other,Marketing,Manager,Master's,81162.73,0,0,5,36.9,No,2.3,1,2,3,Divorced,Yes
EMP-1017,39,Male,Sales,Associate,Bachelor's,34661.37,7,2,8,59.0,Yes,3.6,2,2,22,Married,No
EMP-1018,28,Female,Engineering,Manager,Master's,116355.25,9,2,2,47.3,No,1.4,3,4,42,Single,No
EMP-1019,43,Male,Sales,Team Lead,High School,65535.33,13,9,10,39.8,No,4.8,4,2,27,Married,No
EMP-1020,36,Male,Sales,Senior Engineer,Master's,86632.23,3,1,3,41.8,No,1.4,3,3,30,Single,Yes
EMP-1021,35,Other,Operations,Associate,PhD,47494.38,8,1,9,55.0,No,2.4,2,2,19,Married,Yes
EMP-1022,31,Female,Sales,Associate,Bachelor's,30524.83,1,0,9,50.9,Yes,2.8,5,1,2,Single,No
